id,otu_ids,,otu_labels
1553,2539,,"Bacteria,Firmicutes,Clostridia,Clostridiales,IncertaeSedisXI,Anaerococcus"
1554,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1555,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1556,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1557,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1558,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1561,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1562,944,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1563,3476,,"Bacteria,Proteobacteria,Gammaproteobacteria"
1564,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1572,1167,,"Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas"
1576,1929,,"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus"
1577,922,,"Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium"
1581,1795,,"Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus"
1601,1929,,"Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus"
